"Node","Type","In_Degree","Out_Degree","Total_Degree"
"1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine","regular",0,2,2
"Abnormal_renal_function","regular",1,1,2
"Acetaminophen","regular",0,2,2
"Acetylcholine","regular",0,2,2
"Acquired_Immunodeficiency_Syndrome","regular",1,1,2
"Acute_myocardial_infarction","regular",1,1,2
"Adriamycin","regular",0,2,2
"Adverse_event","regular",1,1,2
"Aging","regular",2,0,2
"Allergens","regular",0,2,2
"Amyloid_deposition","regular",1,1,2
"Amyloidosis","regular",0,2,2
"Anti_Inflammatory_Agents_Non_Steroidal","regular",0,2,2
"Arginine","regular",0,2,2
"Arthritis","regular",1,1,2
"Banding_procedure","regular",0,2,2
"Bleomycin","regular",0,2,2
"Bone_necrosis","regular",2,0,2
"Calcium","regular",0,2,2
"Carbon_Tetrachloride","regular",0,2,2
"Carbon_tetrachloride_homeopathic_preparation","regular",0,2,2
"Cardiac_complication","regular",1,1,2
"Cardiopulmonary_Bypass","regular",0,2,2
"Catecholamines","regular",0,2,2
"Cerebral_Ischemia","regular",1,1,2
"Cerebral_atrophy","regular",1,1,2
"Cerebrovascular_Disorders","regular",1,1,2
"Cholesterol","regular",0,2,2
"Chronic_Disease","regular",0,2,2
"Chronic_Obstructive_Airway_Disease","regular",0,2,2
"Closure_by_clamp","regular",0,2,2
"Cocaine","regular",0,2,2
"Communicable_Diseases","regular",1,1,2
"Contrast_Media","regular",0,2,2
"Coronary_heart_disease","regular",1,1,2
"Coronavirus_Infections","regular",0,2,2
"Cytokinesis_of_the_fertilized_ovum","regular",2,0,2
"Deafness","regular",2,0,2
"Death_Sudden_Cardiac","regular",1,1,2
"Dementia_Vascular","regular",2,0,2
"Down_Regulation","regular",2,0,2
"Down_Syndrome","regular",1,1,2
"Embolism","regular",0,2,2
"Endopeptidases","regular",0,2,2
"Endothelin","regular",0,2,2
"Endothelin_1","regular",0,2,2
"Epilepsy","regular",1,1,2
"Essential_Hypertension","regular",1,1,2
"Excision","regular",0,2,2
"Fatty_degeneration","regular",2,0,2
"Fructose","regular",0,2,2
"Gene_Mutation","regular",0,2,2
"Germ_Line_Mutation","regular",0,2,2
"Glycosylation_End_Products_Advanced","regular",0,2,2
"Helicobacter_pylori","regular",0,2,2
"Hemorrhage","regular",0,2,2
"Hepatotoxicity","regular",2,0,2
"Hereditary_Diseases","regular",2,0,2
"Histamine","regular",0,2,2
"Hospital_admission","regular",2,0,2
"Human_cells","regular",2,0,2
"Hydrocephalus","regular",2,0,2
"Hydronephrosis","regular",1,1,2
"Hyperlipidemia","regular",2,0,2
"Hyperplasia","regular",1,1,2
"Hypersensitivity","regular",1,1,2
"Hypertension_Portal","regular",2,0,2
"Hyperuricemia","regular",1,1,2
"Immobilization","regular",0,2,2
"Immune_response","regular",2,0,2
"Infarction","regular",2,0,2
"Infertility","regular",2,0,2
"Inflammasomes","regular",0,2,2
"Interleukin_1_beta","regular",0,2,2
"Leptin_LEP","regular",0,2,2
"Lipids","regular",0,2,2
"MAPT","regular",0,2,2
"Metals_Heavy","regular",0,2,2
"Middle_Cerebral_Artery_Occlusion","regular",0,2,2
"Molecule","regular",0,2,2
"Mouse_Model","regular",2,0,2
"Multiple_Sclerosis","regular",0,2,2
"Muscular_Atrophy","regular",2,0,2
"Mycobacterium_tuberculosis","regular",0,2,2
"Myocardial_dysfunction","regular",2,0,2
"Neoplasm_Metastasis","regular",1,1,2
"Nephrectomy","regular",0,2,2
"Neurotoxins","regular",0,2,2
"Neutropenia","regular",2,0,2
"Non_alcoholic_Fatty_Liver_Disease","regular",2,0,2
"Nonalcoholic_Steatohepatitis","regular",2,0,2
"Okadaic_Acid","regular",0,2,2
"Ouabain","regular",0,2,2
"Oxytocin","regular",0,2,2
"Paraquat","regular",0,2,2
"Pesticides","regular",0,2,2
"Platelet_aggregation","regular",2,0,2
"Polycystic_Kidney_Autosomal_Dominant","regular",1,1,2
"Polymorphism_Genetic","regular",0,2,2
"Pre_Eclampsia","regular",1,1,2
"Premature_Birth","regular",1,1,2
"Pyroptosis","regular",2,0,2
"Radiation","regular",0,2,2
"Radiation_therapy","regular",0,2,2
"Rare_Diseases","regular",1,1,2
"Renal_Insufficiency","regular",1,1,2
"Reperfusion_Injury","regular",0,2,2
"Respiration_Disorders","regular",1,1,2
"Respiratory_Tract_Infections","regular",1,1,2
"Rheumatoid_Arthritis","regular",1,1,2
"Sedation","regular",2,0,2
"Seizures","regular",1,1,2
"Septic_Shock","regular",1,1,2
"Single_Nucleotide_Polymorphism","regular",0,2,2
"Sleep_Apnea_Obstructive","regular",0,2,2
"Sodium_Chloride","regular",0,2,2
"Spastic_syndrome","regular",1,1,2
"Stenosis_unspecified","regular",0,2,2
"Stiffness","regular",1,1,2
"Substance_P","regular",0,2,2
"Tachycardia","regular",0,2,2
"Thioacetamide","regular",0,2,2
"Tourniquets","regular",0,2,2
"Toxin","regular",0,2,2
"Tuberculosis","regular",0,2,2
"Vaccines","regular",0,2,2
"Ventricular_Fibrillation","regular",1,1,2
"Vitamin_D_Deficiency","regular",0,2,2
"adenoma","regular",0,2,2
"alpha_Synuclein","regular",0,2,2
"carrageenan","regular",0,2,2
"homocysteine","regular",0,2,2
"loss_bone","regular",2,0,2
"sevoflurane","regular",0,2,2
"sorafenib","regular",0,2,2
"1_4_dioxin","regular",0,1,1
"20_hydroxy_5_8_11_14_eicosatetraenoic_acid","regular",0,1,1
"9_10_Dimethyl_1_2_benzanthracene","regular",0,1,1
"APP_protein_human","regular",0,1,1
"ATM_gene_ATM","regular",0,1,1
"ATPase_Aminophospholipid_Transporter_Like_Class_I_Type_8A_Member_2_ATP8A2","regular",0,1,1
"Abdominal_compartment_syndrome","regular",1,0,1
"Acetate","regular",0,1,1
"Acetylcholinesterase","regular",0,1,1
"Acids","regular",0,1,1
"Aconitine","regular",0,1,1
"Acute_Erythroblastic_Leukemia","regular",1,0,1
"Acute_Lung_Injury","regular",1,0,1
"Acute_inflammation","regular",1,0,1
"Adhesions","regular",1,0,1
"Administration_Oral","regular",0,1,1
"Adrenal_Cortical_Adenoma","regular",0,1,1
"Adrenal_Gland_Neoplasms","regular",0,1,1
"Adrenal_adenoma","regular",0,1,1
"Adrenergic_Receptor","regular",0,1,1
"Adrenoleukodystrophy","regular",1,0,1
"Advance","regular",0,1,1
"Adverse_drug_effect","regular",1,0,1
"Adverse_reactions","regular",1,0,1
"Aldosterone","regular",0,1,1
"Alopecia","regular",1,0,1
"Amino_Acid_Substitution","regular",1,0,1
"Amnesia","regular",1,0,1
"Amyloid_Fibrils","regular",0,1,1
"Amyloid_beta","regular",0,1,1
"Amyloid_beta_Peptides","regular",0,1,1
"Amyloid_beta_Protein_Precursor","regular",0,1,1
"Anabolism","regular",1,0,1
"Anaphylaxis","regular",0,1,1
"Androgens","regular",0,1,1
"Aneurysm_Dissecting","regular",0,1,1
"Angiogenesis_Inhibitors","regular",0,1,1
"Angiotensins","regular",0,1,1
"Antibodies","regular",0,1,1
"Antihypertensive_Agents","regular",0,1,1
"Antipsychotic_Agents","regular",0,1,1
"Aortic_coarctation","regular",0,1,1
"Apolipoprotein_E4","regular",0,1,1
"Apolipoprotein_E_APOE","regular",0,1,1
"Arboviruses","regular",0,1,1
"Argipressin","regular",0,1,1
"Arsenic","regular",0,1,1
"Asbestos","regular",0,1,1
"Asphyxia","regular",0,1,1
"Aspiration_Pneumonia","regular",0,1,1
"Aspirin","regular",0,1,1
"Ataxia_Telangiectasia","regular",1,0,1
"Atherosclerotic_renal_artery_stenosis","regular",0,1,1
"Autoantibodies","regular",0,1,1
"Autoimmune","regular",1,0,1
"Autoimmune_Diseases","regular",0,1,1
"Autonomic_Dysreflexia","regular",0,1,1
"Autosomal_Dominant_Disorder","regular",1,0,1
"Autosomal_Recessive_Disorder","regular",1,0,1
"Bacterial_Vaginosis","regular",1,0,1
"Begomovirus","regular",0,1,1
"Bilateral_renal_artery_stenosis","regular",0,1,1
"Blast","regular",0,1,1
"Blood_Coagulation_Disorders","regular",1,0,1
"Blood_Pressure","regular",1,0,1
"Blood_Pressure_Monitoring_Ambulatory","regular",0,1,1
"Brain_Edema","regular",1,0,1
"Brain_Injuries","regular",0,1,1
"Brain_hemorrhage","regular",1,0,1
"Bronchiolitis","regular",0,1,1
"CA2","regular",0,1,1
"CD69_protein_human_CD69","regular",0,1,1
"COLLAGENASE","regular",0,1,1
"CRYGC_CRYGEP","regular",0,1,1
"Caffeine","regular",0,1,1
"Calcineurin_inhibitor","regular",0,1,1
"Candidate_Disease_Gene","regular",0,1,1
"Capsaicin","regular",0,1,1
"Carbachol","regular",0,1,1
"Carcinogens","regular",0,1,1
"Cardiomyopathies_Primary","regular",0,1,1
"Cardiotoxicity","regular",1,0,1
"Cardiovascular_arteriosclerosis_unspecified","regular",0,1,1
"Cardiovascular_morbidity","regular",1,0,1
"Cerebral_Amyloid_Angiopathy","regular",0,1,1
"Cerebral_Edema","regular",1,0,1
"Cerebral_Hemorrhage","regular",1,0,1
"Cerebral_Infarction","regular",1,0,1
"Cerebrospinal_Fluid","regular",0,1,1
"Cervical_Ripening","regular",0,1,1
"Challenge","regular",1,0,1
"Charcot_Marie_Tooth_Disease","regular",1,0,1
"Chlorpyrifos","regular",0,1,1
"Cholestasis","regular",1,0,1
"Chronic_heart_failure","regular",1,0,1
"Chronic_infectious_disease","regular",0,1,1
"Chronic_liver_disease_NOS","regular",1,0,1
"Chronic_pain","regular",1,0,1
"Chymosin_REN","regular",0,1,1
"Clip","regular",0,1,1
"Clipping","regular",0,1,1
"Compression_procedure","regular",0,1,1
"Concanavalin_A","regular",0,1,1
"Congenital_Disorders","regular",1,0,1
"Connective_Tissue_Diseases","regular",1,0,1
"Contraceptives_Oral","regular",0,1,1
"Copper","regular",0,1,1
"Coronary_Artery_Vasospasm","regular",0,1,1
"Coronary_Occlusion","regular",0,1,1
"Corticosterone","regular",0,1,1
"Corticotropin","regular",0,1,1
"Cosmetic_procedure","regular",0,1,1
"Cyclophosphamide","regular",0,1,1
"Cystic_Fibrosis","regular",1,0,1
"Cytokine_Storm","regular",1,0,1
"Cytomegalovirus","regular",0,1,1
"Cytopathic_effect","regular",1,0,1
"DELETION","regular",0,1,1
"DNA","regular",0,1,1
"DOCA","regular",0,1,1
"Death_finding","regular",1,0,1
"Degenerative_polyarthritis","regular",0,1,1
"Dementia","regular",0,1,1
"Denervation","regular",0,1,1
"Dengue_Virus","regular",0,1,1
"Deoxycorticosterone","regular",0,1,1
"Dependence","regular",1,0,1
"Depressive_disorder","regular",1,0,1
"Detection","regular",0,1,1
"Deterioration","regular",0,1,1
"Dextran","regular",0,1,1
"Dextran_Sulfate","regular",0,1,1
"Dextran_Sulfate_Sodium","regular",0,1,1
"Diabetes_Mellitus_Insulin_Dependent","regular",1,0,1
"Diarrhea","regular",0,1,1
"Diarrheal_disorder","regular",0,1,1
"Diastolic_dysfunction","regular",1,0,1
"Diet_Protein_Restricted","regular",0,1,1
"Dinoprost","regular",0,1,1
"Dinoprostone","regular",0,1,1
"Disease_Progression","regular",0,1,1
"Dissection_of_aorta","regular",1,0,1
"Dissociation","regular",1,0,1
"Dopamine","regular",0,1,1
"Dopamine_Receptor","regular",0,1,1
"Drinking_Water","regular",0,1,1
"Dysbiosis","regular",1,0,1
"Dyslipidemias","regular",1,0,1
"ERCC8_CSH1_HSPA9","regular",0,1,1
"Embolization_Therapeutic","regular",0,1,1
"Emotional_Stress","regular",0,1,1
"Encephalitis","regular",1,0,1
"Encephalopathies","regular",1,0,1
"Endocrine_System_Diseases","regular",0,1,1
"Endotoxemia","regular",1,0,1
"Erectile_dysfunction","regular",1,0,1
"Erythropoietin","regular",0,1,1
"Escherichia_coli","regular",0,1,1
"Etomidate","regular",0,1,1
"Evaluation","regular",1,0,1
"Evaluation_procedure","regular",1,0,1
"Exocytosis","regular",1,0,1
"Experimental_Autoimmune_Encephalomyelitis","regular",1,0,1
"FGFR3_gene_FGFR3","regular",0,1,1
"FRAGMENTS","regular",0,1,1
"Fabry_Disease","regular",1,0,1
"Falls","regular",1,0,1
"Familial_Alzheimer_s_disease","regular",1,0,1
"Familial_Mediterranean_Fever","regular",1,0,1
"Familial_disease","regular",1,0,1
"Fatty_Acids","regular",0,1,1
"Fatty_Acids_Nonesterified","regular",0,1,1
"Febrile_neutropenia","regular",1,0,1
"Fentanyl","regular",0,1,1
"Fever","regular",1,0,1
"Fibromuscular_Dysplasia","regular",0,1,1
"Fibrosis_Liver","regular",1,0,1
"Flavivirus","regular",0,1,1
"Fluid_overload","regular",0,1,1
"Fluorouracil","regular",0,1,1
"Food","regular",0,1,1
"Foreign_Bodies","regular",0,1,1
"Formalin","regular",0,1,1
"Fracture","regular",0,1,1
"Freund_s_Adjuvant","regular",0,1,1
"Fungi","regular",0,1,1
"Galactosamine","regular",0,1,1
"Gastric_mucosal_lesion","regular",1,0,1
"Gastric_ulcer","regular",1,0,1
"Gastroesophageal_reflux_disease","regular",0,1,1
"Gaucher_Disease","regular",1,0,1
"Genus_Mycobacterium","regular",0,1,1
"Gingival_Overgrowth","regular",1,0,1
"Glaucoma","regular",1,0,1
"Glomerulonephritis","regular",0,1,1
"Glomerulosclerosis","regular",1,0,1
"Glucocorticoid_remediable_aldosteronism","regular",0,1,1
"Glucose_Intolerance","regular",1,0,1
"Glycerol","regular",0,1,1
"Glycogen_Synthase_Kinase_3","regular",0,1,1
"Glycyrrhizic_Acid","regular",0,1,1
"Gram_Negative_Bacteria","regular",0,1,1
"Growth_arrest","regular",1,0,1
"HIV","regular",0,1,1
"HIV_Infections","regular",0,1,1
"Haemophilus_influenzae","regular",0,1,1
"Halothane","regular",0,1,1
"Hantavirus","regular",0,1,1
"Headache","regular",1,0,1
"Heart_Arrest","regular",0,1,1
"Hemiparesis","regular",1,0,1
"Hemiplegia","regular",1,0,1
"Hemolytic_Uremic_Syndrome","regular",0,1,1
"Hemorrhagic_Fevers_Viral","regular",1,0,1
"Hepatitis","regular",1,0,1
"Hepatitis_B","regular",0,1,1
"Hepatitis_B_Virus","regular",0,1,1
"Hepatitis_C","regular",0,1,1
"Hepatitis_C_virus","regular",0,1,1
"Hepatolenticular_Degeneration","regular",1,0,1
"Herpesviridae","regular",0,1,1
"Herpesvirus_1_Human","regular",0,1,1
"Hormones","regular",0,1,1
"Human_Papillomavirus","regular",0,1,1
"Huntington_Disease","regular",1,0,1
"Hydrocortisone","regular",0,1,1
"Hyperactive_behavior","regular",1,0,1
"Hyperaldosteronism","regular",0,1,1
"Hypercholesterolemia_Familial","regular",1,0,1
"Hyperhomocysteinemia","regular",1,0,1
"Hypernatremia","regular",0,1,1
"Hyperparathyroidism","regular",0,1,1
"Hyperparathyroidism_Primary","regular",0,1,1
"Hyperphagia","regular",0,1,1
"Hypertension_Renovascular","regular",0,1,1
"Hypertensive","regular",1,0,1
"Hypertensive_heart_disease_NOS","regular",1,0,1
"Hypertrophy_Left_Ventricular","regular",1,0,1
"Hypoplasia","regular",0,1,1
"Hypothyroidism","regular",1,0,1
"Immune_Tolerance","regular",1,0,1
"Immunologic_Deficiency_Syndromes","regular",1,0,1
"Immunosuppressive_Agents","regular",0,1,1
"Implantation_procedure","regular",0,1,1
"Implants","regular",0,1,1
"Inactivation","regular",1,0,1
"Infectious_agent","regular",0,1,1
"Infusion_procedures","regular",0,1,1
"Injection","regular",0,1,1
"Injections_Intraperitoneal","regular",0,1,1
"Injury_of_stomach","regular",1,0,1
"Interventional_procedure","regular",0,1,1
"Intracranial_Hemorrhages","regular",1,0,1
"Intubation_Intratracheal","regular",0,1,1
"Ionizing_radiation","regular",0,1,1
"Isoflurane","regular",0,1,1
"Juxtaglomerular_tumor","regular",0,1,1
"Ketamine","regular",0,1,1
"Kidney_Transplantation","regular",0,1,1
"LRRK2_gene_LRRK2","regular",0,1,1
"Left_ventricular_systolic_dysfunction","regular",0,1,1
"Lesion_of_stomach","regular",1,0,1
"Leukoencephalopathy","regular",1,0,1
"Leukopenia","regular",1,0,1
"Leukotriene_D4","regular",0,1,1
"Levodopa","regular",0,1,1
"Lewy_Body_Disease","regular",1,0,1
"Licorice","regular",0,1,1
"Liquid_substance","regular",0,1,1
"Little_s_Disease","regular",0,1,1
"Liver_Failure","regular",0,1,1
"Liver_Failure_Acute","regular",1,0,1
"Long_QT_Syndrome","regular",1,0,1
"Lung_Diseases_Interstitial","regular",0,1,1
"Lung_Injury","regular",1,0,1
"Lung_diseases","regular",0,1,1
"Lysosomal_Storage_Diseases","regular",1,0,1
"MAPT_protein_human_MAPT","regular",0,1,1
"Magnesium","regular",0,1,1
"Malaria","regular",0,1,1
"Malignant_neoplasm_of_breast","regular",1,0,1
"Marfan_Syndrome","regular",1,0,1
"Massive_hemorrhage","regular",0,1,1
"Memory_Loss","regular",1,0,1
"Mental_deterioration","regular",0,1,1
"Methacholine","regular",0,1,1
"Methamphetamine","regular",0,1,1
"Methylcholanthrene","regular",0,1,1
"Microorganism","regular",0,1,1
"Microplastics","regular",0,1,1
"Midazolam","regular",0,1,1
"Migraine_Disorders","regular",0,1,1
"Mineralocorticoid_Receptor","regular",0,1,1
"Mineralocorticoids","regular",0,1,1
"Mitochondrial_Diseases","regular",1,0,1
"Mixture","regular",0,1,1
"Monocrotaline","regular",0,1,1
"Mucositis","regular",1,0,1
"Multiple_Organ_Failure","regular",0,1,1
"Muscular_Dystrophies","regular",1,0,1
"Muscular_Dystrophy_Duchenne","regular",1,0,1
"Musculoskeletal_Diseases","regular",0,1,1
"Mutation_Missense","regular",0,1,1
"Myasthenic_Syndromes_Congenital","regular",1,0,1
"Mycoses","regular",0,1,1
"Myelosuppression","regular",1,0,1
"Myocardial_fibrosis","regular",1,0,1
"Myopathy","regular",1,0,1
"NEPHROTOXICITY","regular",1,0,1
"NG_Nitroarginine_Methyl_Ester","regular",0,1,1
"NOS3_protein_human_NOS3","regular",0,1,1
"N_Methylaspartate","regular",0,1,1
"Na_K_Exchanging_ATPase","regular",0,1,1
"Neisseria_meningitidis","regular",0,1,1
"Nematoda","regular",0,1,1
"Nephrosclerosis","regular",1,0,1
"Neurofibrillary_Tangles","regular",1,0,1
"Neuroinflammation","regular",1,0,1
"Neuromuscular_Diseases","regular",1,0,1
"Neuropathic_pain","regular",1,0,1
"Neuropathy","regular",1,0,1
"Nicotine","regular",0,1,1
"Nicotinic_Receptors","regular",0,1,1
"Nitric_Oxide_Synthase","regular",0,1,1
"Nitroarginine","regular",0,1,1
"Nitroglycerin","regular",0,1,1
"Noise","regular",0,1,1
"Noncommunicable_Diseases","regular",0,1,1
"Nontuberculous_Mycobacteria","regular",0,1,1
"Occupational_asthma","regular",1,0,1
"Oleic_Acid","regular",0,1,1
"Oncogenes","regular",0,1,1
"Opioids","regular",0,1,1
"Oral_Mucositis","regular",1,0,1
"Organism","regular",0,1,1
"Orthomyxoviridae","regular",0,1,1
"Osteogenesis_Imperfecta","regular",1,0,1
"Ovalbumin","regular",0,1,1
"Overweight","regular",0,1,1
"Oxidants","regular",0,1,1
"Oxidation","regular",0,1,1
"Oxidative_Damage","regular",1,0,1
"Oxygen","regular",0,1,1
"PS2_protein_alzheimer_associated_PSEN2","regular",0,1,1
"PSEN1","regular",0,1,1
"Palmitates","regular",0,1,1
"Pandemics","regular",0,1,1
"Paraganglioma","regular",0,1,1
"Parasites","regular",0,1,1
"Parkinsonian_Disorders","regular",1,0,1
"Pathogenic_Variant","regular",0,1,1
"Pathogenic_organism","regular",0,1,1
"Pathologic_Processes","regular",0,1,1
"Peptidyl_Dipeptidase_A","regular",0,1,1
"Perinephritis","regular",0,1,1
"Peripheral_Neuropathy","regular",1,0,1
"Peritonitis","regular",1,0,1
"Pheochromocytoma","regular",0,1,1
"Physical_findings","regular",0,1,1
"Pick_Disease_of_the_Brain","regular",1,0,1
"Placental_Insufficiency","regular",0,1,1
"Plasma","regular",0,1,1
"Players","regular",0,1,1
"Point_Mutation","regular",0,1,1
"Poisoning","regular",1,0,1
"Polyomavirus","regular",0,1,1
"Posterior_reversible_encephalopathy_syndrome","regular",1,0,1
"Potassium_Chloride","regular",0,1,1
"Pregnancy","regular",1,0,1
"Pressors","regular",0,1,1
"Primary_immune_deficiency_disorder","regular",1,0,1
"Prion_Diseases","regular",1,0,1
"Propofol","regular",0,1,1
"Prostaglandins","regular",0,1,1
"Proteinuria","regular",1,0,1
"Protozoa","regular",0,1,1
"Protozoan_parasite","regular",0,1,1
"Pseudoaneurysm","regular",1,0,1
