"Node","Type","In_Degree","Out_Degree","Total_Degree","Betweenness","Closeness","PageRank","In_Cycle","SCC_ID","SCC_Size"
"Cardiovascular_Diseases","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Catecholamines","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,235,1
"Cerebral_Amyloid_Angiopathy","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,234,1
"Cerebrospinal_Fluid","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,233,1
"Cerebrovascular_accident","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Cholesterol","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,232,1
"Chronic_Kidney_Diseases","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Chronic_inflammation","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,231,1
"Chymosin_REN","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,230,1
"Clip","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,229,1
"Clipping","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,228,1
"Closure_by_clamp","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,227,1
"Cocaine","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,226,1
"Complication","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Compression_procedure","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,225,1
"Congenital_Abnormality","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,224,1
"Conn_Syndrome","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,223,1
"Constriction_procedure","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,222,1
"Contraceptives_Oral","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,221,1
"Contraction","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Copper","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,220,1
"Corticosterone","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,219,1
"Corticotropin","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,218,1
"Corticotropin_POMC","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,217,1
"Cushing_Syndrome","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,216,1
"Cyclosporine","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,215,1
"DNA_Mitochondrial","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,214,1
"DOCA","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,213,1
"Dementia","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,212,1
"Denervation","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,211,1
"Deoxycorticosterone","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,210,1
"Deterioration","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,209,1
"Dexamethasone","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,208,1
"Diabetes","regular",1,2,3,0,0.00129198966408269,0.00288037078240171,TRUE,277,44
"Diabetes_Mellitus","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Diabetes_Mellitus_Non_Insulin_Dependent","regular",1,1,2,0,0.00129198966408269,0.00288037078240171,TRUE,277,44
"Diabetic_Nephropathy","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Diet","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,207,1
"Diet_High_Fat","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,206,1
"Diet_Protein_Restricted","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,205,1
"Dopamine","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,204,1
"Dopamine_Receptor","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,203,1
"Down_Syndrome","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,202,1
"Drinking_Water","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,201,1
"ERCC8_CSH1_HSPA9","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,200,1
"Embolism","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,199,1
"Emotional_Stress","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,198,1
"Endocrine_System_Diseases","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,197,1
"Endopeptidases","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,196,1
"Endothelial_dysfunction","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Endothelin","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,195,1
"Endothelin_1","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,194,1
"Enzymes","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,193,1
"Epinephrine","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,192,1
"Erythropoietin","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,191,1
"Erythropoietin_EPO","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,190,1
"Essential_Hypertension","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Estrogens","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,189,1
"Ethanol","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,188,1
"Excision","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,187,1
"FRAGMENTS","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,186,1
"Fetal_Growth_Retardation","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Fibromuscular_Dysplasia","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,185,1
"Fibrosis","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Fluid_overload","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,184,1
"Free_Radicals","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,183,1
"Gene_Mutation","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,182,1
"Genes","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,181,1
"Glucocorticoid_remediable_aldosteronism","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,180,1
"Glucocorticoids","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,179,1
"Glycogen_Synthase_Kinase_3","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,178,1
"Glycosylation_End_Products_Advanced","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,177,1
"Glycyrrhizic_Acid","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,176,1
"Heart_failure","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Herpesvirus_1_Human","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,175,1
"Hormones","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,174,1
"Hydrocortisone","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,173,1
"Hydronephrosis","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,172,1
"Hyperaldosteronism","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,171,1
"Hypercalcemia","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,170,1
"Hyperglycemia","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,169,1
"Hyperinsulinism","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,168,1
"Hypernatremia","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,167,1
"Hyperplasia","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,166,1
"Abdominal_compartment_syndrome","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,335,1
"Arteriosclerosis","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,334,1
"Atrial_Fibrillation","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,333,1
"Blood_Pressure","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,332,1
"Brain_Edema","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,331,1
"Brain_hemorrhage","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,330,1
"Cardiac_Hypertrophy","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,329,1
"Cardiac_complication","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,328,1
"Cardiomyopathies","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,327,1
"Cardiovascular_morbidity","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,326,1
"Cerebral_Edema","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,325,1
"Cerebral_Hemorrhage","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,324,1
"Cerebral_hemisphere_hemorrhage","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,323,1
"Cerebrovascular_Disorders","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,322,1
"Chronic_heart_failure","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,321,1
"Congestive_heart_failure","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,320,1
"Coronary_Arteriosclerosis","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,319,1
"Coronary_heart_disease","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,318,1
"Diastolic_dysfunction","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,317,1
"Dissection_of_aorta","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,316,1
"Edema","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,315,1
"Encephalopathies","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,314,1
"End_stage_renal_failure","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,313,1
"Erectile_dysfunction","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,312,1
"Extravasation","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,311,1
"Glomerulosclerosis","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,310,1
"Growth","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,309,1
"Headache","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,308,1
"Heart_Diseases","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,307,1
"Hospital_admission","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,306,1
"Hospitalization","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,305,1
"Hypertension_Pulmonary","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,304,1
"Hypertensive_heart_disease_NOS","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,303,1
"Hypertrophic_Cardiomyopathy","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,302,1
"Hypertrophy","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Hypertrophy_Left_Ventricular","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,301,1
"Hypoxia","regular",1,2,3,0,0.00129198966408269,0.00288037078240171,TRUE,277,44
"Infarction","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,300,1
"Insulin_Resistance","regular",1,2,3,0,0.00129198966408269,0.00288037078240171,TRUE,277,44
"Intracranial_Hemorrhages","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,299,1
"Ischemia","regular",1,2,3,0,0.00129198966408269,0.00288037078240171,TRUE,277,44
"Ischemic_stroke","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,298,1
"Kidney_Diseases","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Kidney_Failure","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Kidney_Failure_Acute","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,297,1
"Kidney_Failure_Chronic","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Labor_Childbirth","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,296,1
"Lack_of_sensation","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,295,1
"Myocardial_Infarction","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,294,1
"Myocardial_Ischemia","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,293,1
"Myocardial_dysfunction","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,292,1
"Myocardial_fibrosis","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,291,1
"Nephrosclerosis","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,290,1
"Obesity","regular",1,2,3,0,0.00129198966408269,0.00288037078240171,TRUE,277,44
"Pathogenesis","regular",1,2,3,0,0.00129198966408269,0.00288037078240171,TRUE,277,44
"Pathological_Dilatation","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,289,1
"Posterior_reversible_encephalopathy_syndrome","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,288,1
"Pre_Eclampsia","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Pregnancy","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,287,1
"Premature_Birth","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,286,1
"Proteinuria","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,285,1
"Pulmonary_Edema","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,284,1
"Purpura_Thrombotic_Thrombocytopenic","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,283,1
"Renal_Insufficiency","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Spastic_syndrome","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,282,1
"Stiffness","regular",1,1,2,0,0.00116009280742459,0.00288037078240171,TRUE,277,44
"Vascular_Diseases","regular",1,2,3,0,0.00129198966408269,0.00288037078240171,TRUE,277,44
"Ventricular_Dysfunction_Left","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,281,1
"Ventricular_hypertrophy","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,280,1
"cardiac_arrhythmia","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,279,1
"end_organ_damage","regular",1,0,1,0,0.00116009280742459,0.00288037078240222,FALSE,278,1
"Hypertension_Renovascular","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,165,1
"Hyperuricemia","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,164,1
"Hypoplasia","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,163,1
"IMPACT_gene","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,162,1
"Immobilization","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,161,1
"Immunosuppressive_Agents","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,160,1
"Impaired_cognition","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,159,1
"Inflammasomes","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,158,1
"Inflammatory_Response","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,157,1
"Infusion_procedures","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,156,1
"Injection","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,155,1
"Injection_procedure","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,154,1
"Injury","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,153,1
"Insulin","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,152,1
"Intestinal_Microbiome","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,151,1
"Intubation_Intratracheal","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,150,1
"Ions","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,149,1
"Iron","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,148,1
"Juxtaglomerular_tumor","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,147,1
"Kidney_Transplantation","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,146,1
"Leptin","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,145,1
"Leptin_LEP","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,144,1
"Licorice","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,143,1
"Ligation","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,142,1
"Lipids","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,141,1
"Lipopolysaccharides","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,140,1
"Liquid_substance","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,139,1
"MAPT","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,138,1
"MAPT_protein_human_MAPT","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,137,1
"Magnesium","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,136,1
"Malnutrition","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,135,1
"Memory_impairment","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,134,1
"Mental_deterioration","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,133,1
"Metabolic_syndrome","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,132,1
"Metals","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,131,1
"MicroRNAs","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,130,1
"Mineralocorticoid_Receptor","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,129,1
"Mineralocorticoids","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,128,1
"Molecule","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,127,1
"Mutation","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,126,1
"NG_Nitroarginine_Methyl_Ester","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,125,1
"NOS3_protein_human_NOS3","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,124,1
"Na_K_Exchanging_ATPase","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,123,1
"Neoplasm","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,122,1
"Neoplasm_Metastasis","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,121,1
"Nephrectomy","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,120,1
"Nerve_Degeneration","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,119,1
"Neurotoxins","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,118,1
"Nicotine","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,117,1
"Nicotinic_Receptors","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,116,1
"Nitric_Oxide","regular",0,2,2,0,0.00129198966408269,0.000900598724988489,FALSE,115,1
"Nitric_Oxide_Synthase","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,114,1
"Nitroarginine","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,113,1
"Noise","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,112,1
"Norepinephrine","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,111,1
"Obstruction","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,110,1
"Okadaic_Acid","regular",0,1,1,0,0.000970873786407767,0.000900598724988489,FALSE,109,1
"Operative_Surgical_Procedures","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,108,1
"Ouabain","regular",0,1,1,0,0.00116009280742459,0.000900598724988489,FALSE,107,1
