"Node"                                               , "Type"    , "In_Degree", "Out_Degree", "Total_Degree"
"Neurodegenerative_Disorders"                        , "regular" ,           5,            2,              7
"Glucose"                                            , "regular" ,           0,            7,              7
"Operative_Surgical_Procedures"                      , "regular" ,           0,            7,              7
"COVID_19"                                           , "regular" ,           1,            5,              6
"Degenerative_polyarthritis"                         , "regular" ,           5,            1,              6
"Dexamethasone"                                      , "regular" ,           0,            6,              6
"Inflammatory_Response"                              , "regular" ,           4,            2,              6
"Epinephrine"                                        , "regular" ,           0,            6,              6
"hypoglycemia"                                       , "regular" ,           5,            1,              6
"Fructose"                                           , "regular" ,           0,            6,              6
"Injection_procedure"                                , "regular" ,           0,            6,              6
"Lipopolysaccharides"                                , "regular" ,           0,            6,              6
"TNF_protein_human_TNF"                              , "regular" ,           0,            6,              6
"Wounds_and_Injuries"                                , "regular" ,           0,            6,              6
"cytokine"                                           , "regular" ,           0,            6,              6
"cytotoxicity"                                       , "regular" ,           5,            0,              5
"Agent"                                              , "regular" ,           0,            5,              5
"Anemia"                                             , "regular" ,           4,            1,              5
"Arteriosclerosis"                                   , "regular" ,           2,            3,              5
"Cerebral_hemisphere_hemorrhage"                     , "regular" ,           4,            1,              5
"Cardiomyopathies"                                   , "regular" ,           3,            2,              5
"Disability_NOS"                                     , "regular" ,           4,            1,              5
"Epilepsy"                                           , "regular" ,           4,            1,              5
"Congenital_Abnormality"                             , "regular" ,           3,            2,              5
"Constriction_procedure"                             , "regular" ,           0,            5,              5
"Degenerative_abnormality"                           , "regular" ,           3,            2,              5
"Malnutrition"                                       , "regular" ,           2,            3,              5
"Metabolic_syndrome"                                 , "regular" ,           4,            1,              5
"Diet_High_Fat"                                      , "regular" ,           0,            5,              5
"Immune_response"                                    , "regular" ,           5,            0,              5
"Infarction"                                         , "regular" ,           2,            3,              5
"Rheumatoid_Arthritis"                               , "regular" ,           3,            2,              5
"Seizures"                                           , "regular" ,           4,            1,              5
"Thrombosis"                                         , "regular" ,           2,            3,              5
"Embolization_Therapeutic"                           , "regular" ,           0,            5,              5
"Lesion"                                             , "regular" ,           2,            3,              5
"Hypersensitivity"                                   , "regular" ,           3,            2,              5
"Sleep_Apnea_Obstructive"                            , "regular" ,           3,            2,              5
"Lipids"                                             , "regular" ,           0,            5,              5
"Norepinephrine"                                     , "regular" ,           0,            5,              5
"Reactive_Oxygen_Species"                            , "regular" ,           0,            5,              5
"Virus"                                              , "regular" ,           0,            5,              5
"Virus_Diseases"                                     , "regular" ,           0,            5,              5
"2019_novel_coronavirus"                             , "regular" ,           0,            4,              4
"Conn_Syndrome"                                      , "regular" ,           2,            2,              4
"Amyotrophic_Lateral_Sclerosis"                      , "regular" ,           2,            2,              4
"Hypertrophy_Left_Ventricular"                       , "regular" ,           4,            0,              4
"Asthma"                                             , "regular" ,           1,            3,              4
"Autoimmune_Diseases"                                , "regular" ,           2,            2,              4
"Bacteria"                                           , "regular" ,           0,            4,              4
"Bacterial_Infections"                               , "regular" ,           0,            4,              4
"Hospitalization"                                    , "regular" ,           4,            0,              4
"Chronic_Disease"                                    , "regular" ,           3,            1,              4
"Chronic_Obstructive_Airway_Disease"                 , "regular" ,           2,            2,              4
"Blind_Vision"                                       , "regular" ,           4,            0,              4
"Diabetic_Nephropathy"                               , "regular" ,           1,            3,              4
"Fatty_Liver"                                        , "regular" ,           4,            0,              4
"Fibrosis_Liver"                                     , "regular" ,           3,            1,              4
"Non_alcoholic_fatty_liver"                          , "regular" ,           3,            1,              4
"Ischemic_stroke"                                    , "regular" ,           2,            2,              4
"Liver_diseases"                                     , "regular" ,           2,            2,              4
"Pneumonia"                                          , "regular" ,           2,            2,              4
"Shock"                                              , "regular" ,           2,            2,              4
"Thrombocytopenia"                                   , "regular" ,           4,            0,              4
"hearing_impairment"                                 , "regular" ,           4,            0,              4
"Necrosis"                                           , "regular" ,           3,            1,              4
"Hereditary_Diseases"                                , "regular" ,           2,            2,              4
"depolarization"                                     , "regular" ,           4,            0,              4
"Isoproterenol"                                      , "regular" ,           0,            4,              4
"Ligation"                                           , "regular" ,           0,            4,              4
"Polycystic_Kidney_Autosomal_Dominant"               , "regular" ,           1,            3,              4
"Ouabain"                                            , "regular" ,           0,            4,              4
"Phenylephrine"                                      , "regular" ,           0,            4,              4
"Sodium_Chloride"                                    , "regular" ,           0,            4,              4
"Memory_impairment"                                  , "regular" ,           3,            0,              3
"Acute_myocardial_infarction"                        , "regular" ,           1,            2,              3
"Adhesions"                                          , "regular" ,           1,            2,              3
"Aldosterone"                                        , "regular" ,           0,            3,              3
"Aluminum"                                           , "regular" ,           0,            3,              3
"Antibodies"                                         , "regular" ,           0,            3,              3
"Aortic_Valve_Stenosis"                              , "regular" ,           0,            3,              3
"Banding_procedure"                                  , "regular" ,           0,            3,              3
"Deglutition_Disorders"                              , "regular" ,           3,            0,              3
"Chemicals"                                          , "regular" ,           0,            3,              3
"Chronic_inflammation"                               , "regular" ,           2,            1,              3
"Compression_procedure"                              , "regular" ,           0,            3,              3
"DNA"                                                , "regular" ,           0,            3,              3
"Depressive_disorder"                                , "regular" ,           2,            1,              3
"Atrophic"                                           , "regular" ,           3,            0,              3
"Diagnosis"                                          , "regular" ,           2,            1,              3
"Diarrhea"                                           , "regular" ,           2,            1,              3
"Dyslipidemias"                                      , "regular" ,           2,            1,              3
"Edema"                                              , "regular" ,           3,            0,              3
"Hypertension_Pulmonary"                             , "regular" ,           2,            1,              3
"Infertility"                                        , "regular" ,           3,            0,              3
"Osteoporosis"                                       , "regular" ,           3,            0,              3
"Pain"                                               , "regular" ,           3,            0,              3
"Physical_findings"                                  , "regular" ,           1,            2,              3
"Disease_Progression"                                , "regular" ,           1,            2,              3
"Dissection"                                         , "regular" ,           0,            3,              3
"Doxorubicin"                                        , "regular" ,           0,            3,              3
"Embolism"                                           , "regular" ,           0,            3,              3
"Liver_damage"                                       , "regular" ,           3,            0,              3
"Ulcer"                                              , "regular" ,           3,            0,              3
"Extravasation"                                      , "regular" ,           2,            1,              3
"Renal_Artery_Stenosis"                              , "regular" ,           1,            2,              3
"Hypertension_Portal"                                , "regular" ,           2,            1,              3
"nervous_system_disorder"                            , "regular" ,           2,            1,              3
"Glomerulonephritis"                                 , "regular" ,           0,            3,              3
"Glutamate"                                          , "regular" ,           0,            3,              3
"Heart_Diseases"                                     , "regular" ,           1,            2,              3
"Hemorrhage"                                         , "regular" ,           1,            2,              3
"Inflammatory_Bowel_Diseases"                        , "regular" ,           1,            2,              3
"Influenza"                                          , "regular" ,           0,            3,              3
"Materials"                                          , "regular" ,           0,            3,              3
"Rare_Diseases"                                      , "regular" ,           1,            2,              3
"Myocardial_Ischemia"                                , "regular" ,           1,            2,              3
"Radiation_therapy"                                  , "regular" ,           0,            3,              3
"Traumatic_Brain_Injury"                             , "regular" ,           1,            2,              3
"Thrombus"                                           , "regular" ,           0,            3,              3
"Toxin"                                              , "regular" ,           0,            3,              3
"oxidized_low_density_lipoprotein"                   , "regular" ,           0,            3,              3
"Impaired_cognition"                                 , "regular" ,           2,            0,              2
"Acquired_Immunodeficiency_Syndrome"                 , "regular" ,           0,            2,              2
"Adrenal_adenoma"                                    , "regular" ,           1,            1,              2
"Adverse_event"                                      , "regular" ,           1,            1,              2
"Allergens"                                          , "regular" ,           0,            2,              2
"Amyloid_beta_Peptides"                              , "regular" ,           0,            2,              2
"Anaphylaxis"                                        , "regular" ,           1,            1,              2
"Aortic_Aneurysm_Abdominal"                          , "regular" ,           1,            1,              2
"Hypertensive"                                       , "regular" ,           2,            0,              2
"Antigens"                                           , "regular" ,           0,            2,              2
"Antioxidants"                                       , "regular" ,           0,            2,              2
"Arsenic"                                            , "regular" ,           0,            2,              2
"Asbestos"                                           , "regular" ,           0,            2,              2
"Atrial_Fibrillation"                                , "regular" ,           0,            2,              2
"Autoimmune"                                         , "regular" ,           1,            1,              2
"Bleomycin"                                          , "regular" ,           0,            2,              2
"Brain_Injuries"                                     , "regular" ,           1,            1,              2
"Carbon_Tetrachloride"                               , "regular" ,           0,            2,              2
"Cardiomyopathy_Dilated"                             , "regular" ,           1,            1,              2
"Cardiopulmonary_Bypass"                             , "regular" ,           0,            2,              2
"Cardiotoxicity"                                     , "regular" ,           1,            1,              2
"follow_up"                                          , "regular" ,           2,            0,              2
"Cerebral_Infarction"                                , "regular" ,           1,            1,              2
"Cerebral_Ischemia"                                  , "regular" ,           1,            1,              2
"Chemokine_C_C_Motif_Ligand_4_CCL4"                  , "regular" ,           0,            2,              2
"Chronic_infectious_disease"                         , "regular" ,           0,            2,              2
"Chronic_liver_disease_NOS"                          , "regular" ,           1,            1,              2
"Cigarette_smoke"                                    , "regular" ,           0,            2,              2
"Communicable_Diseases"                              , "regular" ,           0,            2,              2
"Complement_System_Proteins"                         , "regular" ,           0,            2,              2
"Coronary_Arteriosclerosis"                          , "regular" ,           0,            2,              2
"Coronary_heart_disease"                             , "regular" ,           0,            2,              2
"Corticotropin"                                      , "regular" ,           0,            2,              2
"Gingival_Overgrowth"                                , "regular" ,           2,            0,              2
"NEPHROTOXICITY"                                     , "regular" ,           2,            0,              2
"DELETION"                                           , "regular" ,           0,            2,              2
"DNA_Mitochondrial"                                  , "regular" ,           0,            2,              2
"Death_Sudden"                                       , "regular" ,           1,            1,              2
"Death_Sudden_Cardiac"                               , "regular" ,           1,            1,              2
"Muscular_Atrophy"                                   , "regular" ,           2,            0,              2
"Diabetes_Mellitus_Insulin_Dependent"                , "regular" ,           1,            1,              2
"Acidosis"                                           , "regular" ,           2,            0,              2
"Dysbiosis"                                          , "regular" ,           1,            1,              2
"Fatty_degeneration"                                 , "regular" ,           2,            0,              2
"Hyperhomocysteinemia"                               , "regular" ,           1,            1,              2
"Mouse_Model"                                        , "regular" ,           2,            0,              2
"Steatohepatitis_non_alcoholic"                      , "regular" ,           1,            1,              2
"hypercholesterolemia"                               , "regular" ,           2,            0,              2
"Aging"                                              , "regular" ,           2,            0,              2
"Dyspnea"                                            , "regular" ,           2,            0,              2
"Headache"                                           , "regular" ,           2,            0,              2
"Hospital_admission"                                 , "regular" ,           2,            0,              2
"Liver_Failure"                                      , "regular" ,           1,            1,              2
"Multiple_Organ_Failure"                             , "regular" ,           1,            1,              2
"Respiratory_Distress_Syndrome_Adult"                , "regular" ,           1,            1,              2
"Respiratory_Failure"                                , "regular" ,           1,            1,              2
"Right_ventricular_failure"                          , "regular" ,           1,            1,              2
"Endotoxins"                                         , "regular" ,           0,            2,              2
"Enzymes"                                            , "regular" ,           0,            2,              2
"Pulmonary_Edema"                                    , "regular" ,           1,            1,              2
"Escherichia_coli"                                   , "regular" ,           0,            2,              2
"Ataxia"                                             , "regular" ,           2,            0,              2
"Bone_necrosis"                                      , "regular" ,           2,            0,              2
"Death_finding"                                      , "regular" ,           2,            0,              2
"Depressed_mood"                                     , "regular" ,           2,            0,              2
"Hepatotoxicity"                                     , "regular" ,           2,            0,              2
"Intoxication"                                       , "regular" ,           2,            0,              2
"Sedation"                                           , "regular" ,           2,            0,              2
"cell_injury"                                        , "regular" ,           2,            0,              2
"hypothermia_natural"                                , "regular" ,           1,            1,              2
"Excision"                                           , "regular" ,           0,            2,              2
"Food"                                               , "regular" ,           0,            2,              2
"Free_Radicals"                                      , "regular" ,           0,            2,              2
"Mitral_Valve_Insufficiency"                         , "regular" ,           1,            1,              2
"Gene_Mutation"                                      , "regular" ,           0,            2,              2
"Cystic_Fibrosis"                                    , "regular" ,           2,            0,              2
"Deafness"                                           , "regular" ,           2,            0,              2
"Familial_Mediterranean_Fever"                       , "regular" ,           2,            0,              2
"Schizophrenia"                                      , "regular" ,           1,            1,              2
"Germ_Line_Mutation"                                 , "regular" ,           0,            2,              2
"loss_bone"                                          , "regular" ,           2,            0,              2
"Glycosylation_End_Products_Advanced"                , "regular" ,           0,            2,              2
"HIV_Infections"                                     , "regular" ,           0,            2,              2
"Hantavirus"                                         , "regular" ,           0,            2,              2
"Helicobacter_pylori"                                , "regular" ,           0,            2,              2
"Hepatitis_B"                                        , "regular" ,           0,            2,              2
"Hepatitis_C_virus"                                  , "regular" ,           0,            2,              2
"Herpesvirus_4_Human"                                , "regular" ,           0,            2,              2
"Human_Papillomavirus"                               , "regular" ,           0,            2,              2
"Hydrogen_Peroxide"                                  , "regular" ,           0,            2,              2
"Hypertrophic_Cardiomyopathy"                        , "regular" ,           1,            1,              2
"Pulmonary_arterial_hypertension"                    , "regular" ,           1,            1,              2
"IGA_Glomerulonephritis"                             , "regular" ,           0,            2,              2
"IMPACT_gene"                                        , "regular" ,           0,            2,              2
"Implantation_procedure"                             , "regular" ,           0,            2,              2
"Implants"                                           , "regular" ,           0,            2,              2
"Inactivation"                                       , "regular" ,           1,            1,              2
"Induction"                                          , "regular" ,           0,            2,              2
"Infiltration"                                       , "regular" ,           1,            1,              2
"Insulin"                                            , "regular" ,           0,            2,              2
"Ions"                                               , "regular" ,           0,            2,              2
"Ventricular_Fibrillation"                           , "regular" ,           1,            1,              2
"Ventricular_arrhythmia"                             , "regular" ,           1,            1,              2
"Lupus_Erythematosus_Systemic"                       , "regular" ,           0,            2,              2
"MAPT"                                               , "regular" ,           0,            2,              2
"Malaria"                                            , "regular" ,           0,            2,              2
"Metals"                                             , "regular" ,           0,            2,              2
"Middle_Cerebral_Artery_Occlusion"                   , "regular" ,           0,            2,              2
"Neuropathy"                                         , "regular" ,           2,            0,              2
"Peripheral_Neuropathy"                              , "regular" ,           2,            0,              2
"Spinal_Muscular_Atrophy"                            , "regular" ,           1,            1,              2
"Mutation_Missense"                                  , "regular" ,           0,            2,              2
"Mycobacterium_tuberculosis"                         , "regular" ,           0,            2,              2
"Mycoses"                                            , "regular" ,           0,            2,              2
"Myocarditis"                                        , "regular" ,           0,            2,              2
"Hydrocephalus"                                      , "regular" ,           2,            0,              2
"Hypercalcemia"                                      , "regular" ,           2,            0,              2
"Neoplasm_Metastasis"                                , "regular" ,           1,            1,              2
"tumor_growth"                                       , "regular" ,           1,            1,              2
"DNA_Damage"                                         , "regular" ,           2,            0,              2
"Tension"                                            , "regular" ,           2,            0,              2
"Stroke_Acute"                                       , "regular" ,           1,            1,              2
"Transient_ischemia"                                 , "regular" ,           1,            1,              2
"Oxidopamine"                                        , "regular" ,           0,            2,              2
"Oxygen"                                             , "regular" ,           0,            2,              2
"Parasites"                                          , "regular" ,           0,            2,              2
"Particulate_Matter"                                 , "regular" ,           0,            2,              2
"Pathogenic_Variant"                                 , "regular" ,           0,            2,              2
"Agranulocytosis"                                    , "regular" ,           2,            0,              2
"Autophagy"                                          , "regular" ,           2,            0,              2
"Toxic_Epidermal_Necrolysis"                         , "regular" ,           1,            1,              2
"Pharmacotherapy"                                    , "regular" ,           0,            2,              2
"Pheochromocytoma"                                   , "regular" ,           0,            2,              2
"Point_Mutation"                                     , "regular" ,           0,            2,              2
"Polycystic_Kidney_Diseases"                         , "regular" ,           0,            2,              2
"Prions"                                             , "regular" ,           0,            2,              2
"Psoriasis"                                          , "regular" ,           1,            1,              2
"Reperfusion_Injury"                                 , "regular" ,           0,            2,              2
"Respiratory_syncytial_virus"                        , "regular" ,           0,            2,              2
"Retroviridae"                                       , "regular" ,           0,            2,              2
"SUCLA2_gene_SUCLA2"                                 , "regular" ,           0,            2,              2
"Salts"                                              , "regular" ,           0,            2,              2
"Colitis"                                            , "regular" ,           2,            0,              2
"Smoke"                                              , "regular" ,           0,            2,              2
"Staphylococcus_aureus"                              , "regular" ,           0,            2,              2
"Stents"                                             , "regular" ,           0,            2,              2
"Streptococcus_pneumoniae"                           , "regular" ,           0,            2,              2
"Substance"                                          , "regular" ,           0,            2,              2
"TP53_gene_TP53"                                     , "regular" ,           0,            2,              2
"Tuberculosis"                                       , "regular" ,           0,            2,              2
"Tumor_Necrosis_Factors"                             , "regular" ,           0,            2,              2
"Vaccination"                                        , "regular" ,           0,            2,              2
"Vas_Occlusion"                                      , "regular" ,           0,            2,              2
"alpha_Synuclein"                                    , "regular" ,           0,            2,              2
"homocysteine"                                       , "regular" ,           0,            2,              2
"imbalance"                                          , "regular" ,           0,            2,              2
"particle"                                           , "regular" ,           0,            2,              2
"receptor"                                           , "regular" ,           0,            2,              2
"1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine"       , "regular" ,           0,            1,              1
"2_2_azobis_2_amidinopropane"                        , "regular" ,           0,            1,              1
"3MC"                                                , "regular" ,           0,            1,              1
"9_10_Dimethyl_1_2_benzanthracene"                   , "regular" ,           0,            1,              1
"APP_protein_human"                                  , "regular" ,           0,            1,              1
"Accumulation"                                       , "regular" ,           0,            1,              1
"Acetate"                                            , "regular" ,           0,            1,              1
"Acids"                                              , "regular" ,           0,            1,              1
"Acute_coronary_syndrome"                            , "regular" ,           0,            1,              1
"Acute_respiratory_infection_NOS"                    , "regular" ,           0,            1,              1
"Adenine"                                            , "regular" ,           0,            1,              1
"Adenoviruses"                                       , "regular" ,           0,            1,              1
"Adrenal_Cortex_Hormones"                            , "regular" ,           0,            1,              1
"Adriamycin"                                         , "regular" ,           0,            1,              1
"Advance"                                            , "regular" ,           0,            1,              1
"African_Swine_Fever_Virus"                          , "regular" ,           0,            1,              1
"Air_Pollution"                                      , "regular" ,           0,            1,              1
"Airway_Obstruction"                                 , "regular" ,           0,            1,              1
"Alphavirus"                                         , "regular" ,           0,            1,              1
"Alternaria_alternata"                               , "regular" ,           0,            1,              1
"Amyloid_beta_Protein_Precursor"                     , "regular" ,           0,            1,              1
"Amyloidosis"                                        , "regular" ,           0,            1,              1
"Aneurysm_Dissecting"                                , "regular" ,           0,            1,              1
"Cell_Proliferation"                                 , "regular" ,           1,            0,              1
"Down_Regulation"                                    , "regular" ,           1,            0,              1
"Exocytosis"                                         , "regular" ,           1,            0,              1
"Up_Regulation_Physiology"                           , "regular" ,           1,            0,              1
"Water_consumption"                                  , "regular" ,           1,            0,              1
"cardiac_muscle_cell_hypertrophy"                    , "regular" ,           1,            0,              1
"Anti_Inflammatory_Agents_Non_Steroidal"             , "regular" ,           0,            1,              1
"Antibiotics"                                        , "regular" ,           0,            1,              1
"Antigen_Antibody_Complex"                           , "regular" ,           0,            1,              1
"Aortic_Valve_Insufficiency"                         , "regular" ,           0,            1,              1
"Aortic_coarctation"                                 , "regular" ,           0,            1,              1
"Apolipoprotein_E_APOE"                              , "regular" ,           0,            1,              1
"Arboviruses"                                        , "regular" ,           0,            1,              1
"Aspergillus"                                        , "regular" ,           0,            1,              1
"Aspergillus_fumigatus"                              , "regular" ,           0,            1,              1
"Asphyxia"                                           , "regular" ,           0,            1,              1
"Aspiration_Pneumonia"                               , "regular" ,           0,            1,              1
"Asymptomatic"                                       , "regular" ,           0,            1,              1
"Autoantibodies"                                     , "regular" ,           0,            1,              1
"Autoantigens"                                       , "regular" ,           0,            1,              1
"Autoimmunity"                                       , "regular" ,           0,            1,              1
"Azoxymethane"                                       , "regular" ,           0,            1,              1
"BARRIER"                                            , "regular" ,           0,            1,              1
"BK_Virus"                                           , "regular" ,           0,            1,              1
"Bacillus_anthracis"                                 , "regular" ,           0,            1,              1
"Bacteremia"                                         , "regular" ,           0,            1,              1
"Begomovirus"                                        , "regular" ,           0,            1,              1
"Biliary_calculi"                                    , "regular" ,           0,            1,              1
"Blood_Coagulation_Disorders"                        , "regular" ,           0,            1,              1
"Bluetongue_virus"                                   , "regular" ,           0,            1,              1
"Borrelia_burgdorferi"                               , "regular" ,           0,            1,              1
"Botrytis_cinerea"                                   , "regular" ,           0,            1,              1
"Bronchopneumonia"                                   , "regular" ,           0,            1,              1
"Bupivacaine"                                        , "regular" ,           0,            1,              1
"Burkholderia_pseudomallei"                          , "regular" ,           0,            1,              1
"CD69_protein_human_CD69"                            , "regular" ,           0,            1,              1
"COLLAGENASE"                                        , "regular" ,           0,            1,              1
"CRYGC_CRYGEP"                                       , "regular" ,           0,            1,              1
"Cachexia"                                           , "regular" ,           0,            1,              1
"Calculi"                                            , "regular" ,           0,            1,              1
"Candida_albicans"                                   , "regular" ,           0,            1,              1
"Candidate_Disease_Gene"                             , "regular" ,           0,            1,              1
"Candidatus_Liberibacter_asiaticus"                  , "regular" ,           0,            1,              1
"Carbon_tetrachloride_homeopathic_preparation"       , "regular" ,           0,            1,              1
"Carcinogens"                                        , "regular" ,           0,            1,              1
"Cardiac_Arrest"                                     , "regular" ,           0,            1,              1
"Cardiac_Tamponade"                                  , "regular" ,           0,            1,              1
"Cardiac_complication"                               , "regular" ,           0,            1,              1
"Cardiomyopathies_Primary"                           , "regular" ,           0,            1,              1
"Cardiovascular_arteriosclerosis_unspecified"        , "regular" ,           0,            1,              1
"Carotid_Stenosis"                                   , "regular" ,           0,            1,              1
"Cerebral_Amyloid_Angiopathy"                        , "regular" ,           0,            1,              1
"Cerebral_Edema"                                     , "regular" ,           0,            1,              1
"Cerebrovascular_Disorders"                          , "regular" ,           0,            1,              1
"Hemiparesis"                                        , "regular" ,           1,            0,              1
"Hemiplegia"                                         , "regular" ,           1,            0,              1
"Neural_Development"                                 , "regular" ,           1,            0,              1
"Chagas_Disease"                                     , "regular" ,           0,            1,              1
"Chikungunya_virus"                                  , "regular" ,           0,            1,              1
"Chlamydia_trachomatis"                              , "regular" ,           0,            1,              1
"Chlorpyrifos"                                       , "regular" ,           0,            1,              1
"Chromium"                                           , "regular" ,           0,            1,              1
"Chromosome_abnormality"                             , "regular" ,           0,            1,              1
"Chronic_Kidney_Diseases"                            , "regular" ,           0,            1,              1
"Chronic_glomerulonephritis_NOS"                     , "regular" ,           0,            1,              1
"Cirrhosis"                                          , "regular" ,           0,            1,              1
"Clostridium_perfringens"                            , "regular" ,           0,            1,              1
"Closure_by_clamp"                                   , "regular" ,           0,            1,              1
"Collagen"                                           , "regular" ,           0,            1,              1
"Labor_Childbirth"                                   , "regular" ,           1,            0,              1
"Pregnancy"                                          , "regular" ,           1,            0,              1
"Complication_infection"                             , "regular" ,           0,            1,              1
"Congestive_heart_failure"                           , "regular" ,           0,            1,              1
"Secondary_hypertension"                             , "regular" ,           1,            0,              1
"Contrast_Media"                                     , "regular" ,           0,            1,              1
"Coronary_Occlusion"                                 , "regular" ,           0,            1,              1
"Coronavirus_Infections"                             , "regular" ,           0,            1,              1
"Cushing_Syndrome"                                   , "regular" ,           1,            0,              1
"Cosmetic_procedure"                                 , "regular" ,           0,            1,              1
"Coxiella_burnetii"                                  , "regular" ,           0,            1,              1
"Croton_Oil"                                         , "regular" ,           0,            1,              1
"Cryptococcus_neoformans"                            , "regular" ,           0,            1,              1
"Culicidae"                                          , "regular" ,           0,            1,              1
"Cyclophosphamide"                                   , "regular" ,           0,            1,              1
"Gingival_Hyperplasia"                               , "regular" ,           1,            0,              1
"Cytomegalovirus"                                    , "regular" ,           0,            1,              1
"DNA_Sequence"                                       , "regular" ,           0,            1,              1
"Debris"                                             , "regular" ,           0,            1,              1
"Deep_Vein_Thrombosis"                               , "regular" ,           0,            1,              1
"Dehydration"                                        , "regular" ,           0,            1,              1
"Dementia"                                           , "regular" ,           0,            1,              1
"Dengue_Virus"                                       , "regular" ,           0,            1,              1
"Desoxycorticosterone_acetate"                       , "regular" ,           0,            1,              1
"Detection"                                          , "regular" ,           0,            1,              1
"Dextran_Sulfate"                                    , "regular" ,           0,            1,              1
"Dextran_Sulfate_Sodium"                             , "regular" ,           0,            1,              1
"Diarrheal_disorder"                                 , "regular" ,           0,            1,              1
"Diastolic_dysfunction"                              , "regular" ,           0,            1,              1
"Did_not_receive_therapy_or_drug_for"                , "regular" ,           0,            1,              1
"Glucose_Intolerance"                                , "regular" ,           1,            0,              1
"Hyperlipidemia"                                     , "regular" ,           1,            0,              1
"Nonalcoholic_Steatohepatitis"                       , "regular" ,           1,            0,              1
"Steatohepatitis"                                    , "regular" ,           1,            0,              1
"Diethylnitrosamine"                                 , "regular" ,           0,            1,              1
"Diquat"                                             , "regular" ,           0,            1,              1
