from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Streptozocin,Alzheimers,C0038432,C0002395,23603201,https://pubmed.ncbi.nlm.nih.gov/23603201,Saxagliptin: a dipeptidyl peptidase-4 inhibitor ameliorates streptozotocin induced Alzheimer's disease.
Streptozocin,Alzheimers,C0038432,C0002395,23681104,https://pubmed.ncbi.nlm.nih.gov/23681104,"Taurine ameliorates neurobehavioral, neurochemical and immunohistochemical changes in sporadic dementia of Alzheimer's type (SDAT) caused by intracerebroventricular streptozotocin in rats."
Streptozocin,Alzheimers,C0038432,C0002395,23681104,https://pubmed.ncbi.nlm.nih.gov/23681104,"Taurine ameliorates neurobehavioral, neurochemical and immunohistochemical changes in sporadic dementia of Alzheimer's type (SDAT) caused by intracerebroventricular streptozotocin in rats."
Streptozocin,Alzheimers,C0038432,C0002395,23681104,https://pubmed.ncbi.nlm.nih.gov/23681104,"Taurine ameliorates neurobehavioral, neurochemical and immunohistochemical changes in sporadic dementia of Alzheimer's type (SDAT) caused by intracerebroventricular streptozotocin in rats."
Streptozocin,Alzheimers,C0038432,C0002395,24117480,https://pubmed.ncbi.nlm.nih.gov/24117480,Vildagliptin: an anti-diabetes agent ameliorates cognitive deficits and pathology observed in streptozotocin-induced Alzheimer's disease.
Streptozocin,Alzheimers,C0038432,C0002395,24117480,https://pubmed.ncbi.nlm.nih.gov/24117480,Vildagliptin: an anti-diabetes agent ameliorates cognitive deficits and pathology observed in streptozotocin-induced Alzheimer's disease.
Streptozocin,Alzheimers,C0038432,C0002395,24117480,https://pubmed.ncbi.nlm.nih.gov/24117480,Vildagliptin: an anti-diabetes agent ameliorates cognitive deficits and pathology observed in streptozotocin-induced Alzheimer's disease.
Streptozocin,Alzheimers,C0038432,C0002395,24329968,https://pubmed.ncbi.nlm.nih.gov/24329968,"Because geniposide is thought to act as a GLP-1 receptor agonist, we investigated the potential therapeutic effect of geniposide on STZ-induced AD model in rats."
Streptozocin,Alzheimers,C0038432,C0002395,24329968,https://pubmed.ncbi.nlm.nih.gov/24329968,"Geniposide ameliorates learning memory deficits, reduces tau phosphorylation and decreases apoptosis via GSK3beta pathway in streptozotocin-induced alzheimer rat model."
Streptozocin,Alzheimers,C0038432,C0002395,24329968,https://pubmed.ncbi.nlm.nih.gov/24329968,"Because geniposide is thought to act as a GLP-1 receptor agonist, we investigated the potential therapeutic effect of geniposide on STZ-induced AD model in rats."
Streptozocin,Alzheimers,C0038432,C0002395,24329968,https://pubmed.ncbi.nlm.nih.gov/24329968,"Geniposide ameliorates learning memory deficits, reduces tau phosphorylation and decreases apoptosis via GSK3beta pathway in streptozotocin-induced alzheimer rat model."
Streptozocin,Alzheimers,C0038432,C0002395,24329968,https://pubmed.ncbi.nlm.nih.gov/24329968,"Because geniposide is thought to act as a GLP-1 receptor agonist, we investigated the potential therapeutic effect of geniposide on STZ-induced AD model in rats."
Streptozocin,Alzheimers,C0038432,C0002395,24329968,https://pubmed.ncbi.nlm.nih.gov/24329968,"Geniposide ameliorates learning memory deficits, reduces tau phosphorylation and decreases apoptosis via GSK3beta pathway in streptozotocin-induced alzheimer rat model."
Streptozocin,Alzheimers,C0038432,C0002395,24503167,https://pubmed.ncbi.nlm.nih.gov/24503167,"Furthermore, it was observed that the expressions of COX-2 and iNOS were significantly up-regulated in STZ-induced AD rats and down-regulated strongly (P<0.05) by Rg5 compared with control rats."
Streptozocin,Alzheimers,C0038432,C0002395,24503167,https://pubmed.ncbi.nlm.nih.gov/24503167,Acetylcholinesterase (AChE) activity was also significantly reduced by Rg5 whereas choline acetyltransferase (ChAT) activity was remarkably increased in the cortex and hippocampus of STZ-induced AD rats (P<0.05).
Streptozocin,Alzheimers,C0038432,C0002395,24503167,https://pubmed.ncbi.nlm.nih.gov/24503167,"Furthermore, it was observed that the expressions of COX-2 and iNOS were significantly up-regulated in STZ-induced AD rats and down-regulated strongly (P<0.05) by Rg5 compared with control rats."
Streptozocin,Alzheimers,C0038432,C0002395,24503167,https://pubmed.ncbi.nlm.nih.gov/24503167,Acetylcholinesterase (AChE) activity was also significantly reduced by Rg5 whereas choline acetyltransferase (ChAT) activity was remarkably increased in the cortex and hippocampus of STZ-induced AD rats (P<0.05).
Streptozocin,Alzheimers,C0038432,C0002395,24503167,https://pubmed.ncbi.nlm.nih.gov/24503167,"Furthermore, it was observed that the expressions of COX-2 and iNOS were significantly up-regulated in STZ-induced AD rats and down-regulated strongly (P<0.05) by Rg5 compared with control rats."
Streptozocin,Alzheimers,C0038432,C0002395,24503167,https://pubmed.ncbi.nlm.nih.gov/24503167,Acetylcholinesterase (AChE) activity was also significantly reduced by Rg5 whereas choline acetyltransferase (ChAT) activity was remarkably increased in the cortex and hippocampus of STZ-induced AD rats (P<0.05).
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,Dipeptidyl peptidase-4 inhibition by Pterocarpus marsupium and Eugenia jambolana ameliorates streptozotocin induced Alzheimer's disease.
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,"Therefore, in the present study, the neuroprotective roles of PM and EJ for ameliorating the streptozotocin (STZ) induced AD have been tested in rat model."
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,"Therefore, PM and EJ extracts contain cognitive enhancers as well as neuroprotective agents against STZ induced AD."
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,"Alzheimer's disease (AD), the most common form of dementia, is characterized by the loss of normal functions of brain cells and neuronal death, ultimately leading to memory loss."
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,Dipeptidyl peptidase-4 inhibition by Pterocarpus marsupium and Eugenia jambolana ameliorates streptozotocin induced Alzheimer's disease.
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,"Therefore, in the present study, the neuroprotective roles of PM and EJ for ameliorating the streptozotocin (STZ) induced AD have been tested in rat model."
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,"Therefore, PM and EJ extracts contain cognitive enhancers as well as neuroprotective agents against STZ induced AD."
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,"Alzheimer's disease (AD), the most common form of dementia, is characterized by the loss of normal functions of brain cells and neuronal death, ultimately leading to memory loss."
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,Dipeptidyl peptidase-4 inhibition by Pterocarpus marsupium and Eugenia jambolana ameliorates streptozotocin induced Alzheimer's disease.
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,"Therefore, in the present study, the neuroprotective roles of PM and EJ for ameliorating the streptozotocin (STZ) induced AD have been tested in rat model."
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,"Therefore, PM and EJ extracts contain cognitive enhancers as well as neuroprotective agents against STZ induced AD."
Streptozocin,Alzheimers,C0038432,C0002395,24667360,https://pubmed.ncbi.nlm.nih.gov/24667360,"Alzheimer's disease (AD), the most common form of dementia, is characterized by the loss of normal functions of brain cells and neuronal death, ultimately leading to memory loss."
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,MATERIALS AND METHODS: We studied the effect of Agm on AD pathology using a STZ-induced Alzheimer rat model.
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,RESULTS: Agm suppressed the accumulation of amyloid beta and enhanced insulin signal transduction in STZ-induced Alzheimer rats [experimetal control (EC) group].
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,Agmatine improves cognitive dysfunction and prevents cell death in a streptozotocin-induced Alzheimer rat model.
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,"In this study, we investigated whether Agm treatment could attenuate apoptosis and improve cognitive decline in a STZ-induced Alzheimer rat model."
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,MATERIALS AND METHODS: We studied the effect of Agm on AD pathology using a STZ-induced Alzheimer rat model.
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,RESULTS: Agm suppressed the accumulation of amyloid beta and enhanced insulin signal transduction in STZ-induced Alzheimer rats [experimetal control (EC) group].
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,Agmatine improves cognitive dysfunction and prevents cell death in a streptozotocin-induced Alzheimer rat model.
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,"In this study, we investigated whether Agm treatment could attenuate apoptosis and improve cognitive decline in a STZ-induced Alzheimer rat model."
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,MATERIALS AND METHODS: We studied the effect of Agm on AD pathology using a STZ-induced Alzheimer rat model.
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,RESULTS: Agm suppressed the accumulation of amyloid beta and enhanced insulin signal transduction in STZ-induced Alzheimer rats [experimetal control (EC) group].
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,Agmatine improves cognitive dysfunction and prevents cell death in a streptozotocin-induced Alzheimer rat model.
Streptozocin,Alzheimers,C0038432,C0002395,24719136,https://pubmed.ncbi.nlm.nih.gov/24719136,"In this study, we investigated whether Agm treatment could attenuate apoptosis and improve cognitive decline in a STZ-induced Alzheimer rat model."
Streptozocin,Alzheimers,C0038432,C0002395,24769303,https://pubmed.ncbi.nlm.nih.gov/24769303,"Centrally administered streptozotocin (STZ), is known to cause Alzheimer's like memory deterioration."
Streptozocin,Alzheimers,C0038432,C0002395,24769303,https://pubmed.ncbi.nlm.nih.gov/24769303,"Centrally administered streptozotocin (STZ), is known to cause Alzheimer's like memory deterioration."
Streptozocin,Alzheimers,C0038432,C0002395,24769303,https://pubmed.ncbi.nlm.nih.gov/24769303,"Centrally administered streptozotocin (STZ), is known to cause Alzheimer's like memory deterioration."
Streptozocin,Alzheimers,C0038432,C0002395,24877042,https://pubmed.ncbi.nlm.nih.gov/24877042,Treadmill exercise alleviates impairment of spatial learning ability through enhancing cell proliferation in the streptozotocin-induced Alzheimer's disease rats.
Streptozocin,Alzheimers,C0038432,C0002395,24877042,https://pubmed.ncbi.nlm.nih.gov/24877042,The rat model of Alzheimer's disease was induced by intracerebroventricular (ICV) injection of streptozotocin (STZ) using a stereotaxic instrument.
Streptozocin,Alzheimers,C0038432,C0002395,24877042,https://pubmed.ncbi.nlm.nih.gov/24877042,Decreased cell proliferation with decrement of BDNF and TrkB expressions in the hippocampus were observed in the STZ-induced Alzheimer's disease rats.
Streptozocin,Alzheimers,C0038432,C0002395,24877042,https://pubmed.ncbi.nlm.nih.gov/24877042,Treadmill exercise alleviates impairment of spatial learning ability through enhancing cell proliferation in the streptozotocin-induced Alzheimer's disease rats.
Streptozocin,Alzheimers,C0038432,C0002395,24877042,https://pubmed.ncbi.nlm.nih.gov/24877042,The rat model of Alzheimer's disease was induced by intracerebroventricular (ICV) injection of streptozotocin (STZ) using a stereotaxic instrument.
Streptozocin,Alzheimers,C0038432,C0002395,24877042,https://pubmed.ncbi.nlm.nih.gov/24877042,Decreased cell proliferation with decrement of BDNF and TrkB expressions in the hippocampus were observed in the STZ-induced Alzheimer's disease rats.
Streptozocin,Alzheimers,C0038432,C0002395,24877042,https://pubmed.ncbi.nlm.nih.gov/24877042,Treadmill exercise alleviates impairment of spatial learning ability through enhancing cell proliferation in the streptozotocin-induced Alzheimer's disease rats.
Streptozocin,Alzheimers,C0038432,C0002395,24877042,https://pubmed.ncbi.nlm.nih.gov/24877042,The rat model of Alzheimer's disease was induced by intracerebroventricular (ICV) injection of streptozotocin (STZ) using a stereotaxic instrument.
Streptozocin,Alzheimers,C0038432,C0002395,24877042,https://pubmed.ncbi.nlm.nih.gov/24877042,Decreased cell proliferation with decrement of BDNF and TrkB expressions in the hippocampus were observed in the STZ-induced Alzheimer's disease rats.
Streptozocin,Alzheimers,C0038432,C0002395,25096625,https://pubmed.ncbi.nlm.nih.gov/25096625,"To determine whether mitochondrial perturbation is associated with the contribution of diabetes to AD progression, we characterized mouse models of streptozotocin (STZ)-induced type 1 diabetes and transgenic AD mouse models with diabetes."
Streptozocin,Alzheimers,C0038432,C0002395,25096625,https://pubmed.ncbi.nlm.nih.gov/25096625,Diabetes is considered to be a risk factor in Alzheimer's disease (AD) pathogenesis.
Streptozocin,Alzheimers,C0038432,C0002395,25096625,https://pubmed.ncbi.nlm.nih.gov/25096625,"To determine whether mitochondrial perturbation is associated with the contribution of diabetes to AD progression, we characterized mouse models of streptozotocin (STZ)-induced type 1 diabetes and transgenic AD mouse models with diabetes."
Streptozocin,Alzheimers,C0038432,C0002395,25096625,https://pubmed.ncbi.nlm.nih.gov/25096625,Diabetes is considered to be a risk factor in Alzheimer's disease (AD) pathogenesis.
